Date,District,fireCount
2016-04-01,Amritsar,0.0
2016-04-01,Barnala,0.0
2016-04-01,Bathinda,0.0
2016-04-01,Faridkot,0.0
2016-04-01,Fatehgarh Sahib,0.0
2016-04-01,Fazilka,0.0
2016-04-01,Firozpur,0.0
2016-04-01,Gurdaspur,0.0
2016-04-01,Hoshiarpur,0.0
2016-04-01,Jalandhar,0.0
2016-04-01,Kapurthala,0.0
2016-04-01,Ludhiana,0.0
2016-04-01,Mansa,0.0
2016-04-01,Moga,0.0
2016-04-01,Muktsar,0.0
2016-04-01,Pathankot,0.0
2016-04-01,Patiala,0.0
2016-04-01,Rupnagar,0.0
2016-04-01,SAS Nagar,0.0
2016-04-01,SBS Nagar,0.0
2016-04-01,Sangrur,0.0
2016-04-01,Tarn Taran,0.0
2016-04-02,Amritsar,0.0
2016-04-02,Barnala,0.0
2016-04-02,Bathinda,0.0
2016-04-02,Faridkot,0.0
2016-04-02,Fatehgarh Sahib,0.0
2016-04-02,Fazilka,0.0
2016-04-02,Firozpur,0.0
2016-04-02,Gurdaspur,0.0
2016-04-02,Hoshiarpur,0.0
2016-04-02,Jalandhar,0.0
2016-04-02,Kapurthala,0.0
2016-04-02,Ludhiana,0.0
2016-04-02,Mansa,0.0
2016-04-02,Moga,0.0
2016-04-02,Muktsar,0.0
2016-04-02,Pathankot,0.0
2016-04-02,Patiala,0.0
2016-04-02,Rupnagar,0.0
2016-04-02,SAS Nagar,0.0
2016-04-02,SBS Nagar,0.0
2016-04-02,Sangrur,0.0
2016-04-02,Tarn Taran,0.0
2016-04-03,Amritsar,0.0
2016-04-03,Barnala,0.0
2016-04-03,Bathinda,0.0
2016-04-03,Faridkot,0.0
2016-04-03,Fatehgarh Sahib,0.0
2016-04-03,Fazilka,0.0
2016-04-03,Firozpur,0.0
2016-04-03,Gurdaspur,0.0
2016-04-03,Hoshiarpur,0.0
2016-04-03,Jalandhar,0.0
2016-04-03,Kapurthala,0.0
2016-04-03,Ludhiana,0.0
2016-04-03,Mansa,0.0
2016-04-03,Moga,0.0
2016-04-03,Muktsar,0.0
2016-04-03,Pathankot,0.0
2016-04-03,Patiala,0.0
2016-04-03,Rupnagar,0.0
2016-04-03,SAS Nagar,0.0
2016-04-03,SBS Nagar,0.0
2016-04-03,Sangrur,0.0
2016-04-03,Tarn Taran,0.0
2016-04-04,Amritsar,0.0
2016-04-04,Barnala,0.0
2016-04-04,Bathinda,0.0
2016-04-04,Faridkot,0.0
2016-04-04,Fatehgarh Sahib,0.0
2016-04-04,Fazilka,0.0
2016-04-04,Firozpur,0.0
2016-04-04,Gurdaspur,0.0
2016-04-04,Hoshiarpur,0.0
2016-04-04,Jalandhar,0.0
2016-04-04,Kapurthala,0.0
2016-04-04,Ludhiana,0.0
2016-04-04,Mansa,0.0
2016-04-04,Moga,0.0
2016-04-04,Muktsar,0.0
2016-04-04,Pathankot,0.0
2016-04-04,Patiala,0.0
2016-04-04,Rupnagar,0.0
2016-04-04,SAS Nagar,0.0
2016-04-04,SBS Nagar,0.0
2016-04-04,Sangrur,0.0
2016-04-04,Tarn Taran,0.0
2016-04-05,Amritsar,0.0
2016-04-05,Barnala,0.0
2016-04-05,Bathinda,0.0
2016-04-05,Faridkot,0.0
2016-04-05,Fatehgarh Sahib,0.0
2016-04-05,Fazilka,0.0
2016-04-05,Firozpur,0.0
2016-04-05,Gurdaspur,0.0
2016-04-05,Hoshiarpur,0.0
2016-04-05,Jalandhar,0.0
2016-04-05,Kapurthala,0.0
2016-04-05,Ludhiana,0.0
2016-04-05,Mansa,0.0
2016-04-05,Moga,0.0
2016-04-05,Muktsar,0.0
2016-04-05,Pathankot,0.0
2016-04-05,Patiala,0.0
2016-04-05,Rupnagar,0.0
2016-04-05,SAS Nagar,0.0
2016-04-05,SBS Nagar,0.0
2016-04-05,Sangrur,0.0
2016-04-05,Tarn Taran,0.0
2016-04-06,Amritsar,0.0
2016-04-06,Barnala,0.0
2016-04-06,Bathinda,0.0
2016-04-06,Faridkot,0.0
2016-04-06,Fatehgarh Sahib,0.0
2016-04-06,Fazilka,0.0
2016-04-06,Firozpur,0.0
2016-04-06,Gurdaspur,0.0
2016-04-06,Hoshiarpur,0.0
2016-04-06,Jalandhar,0.0
2016-04-06,Kapurthala,0.0
2016-04-06,Ludhiana,0.0
2016-04-06,Mansa,0.0
2016-04-06,Moga,0.0
2016-04-06,Muktsar,0.0
2016-04-06,Pathankot,0.0
2016-04-06,Patiala,0.0
2016-04-06,Rupnagar,0.0
2016-04-06,SAS Nagar,0.0
2016-04-06,SBS Nagar,0.0
2016-04-06,Sangrur,0.0
2016-04-06,Tarn Taran,0.0
2016-04-07,Amritsar,0.0
2016-04-07,Barnala,0.0
2016-04-07,Bathinda,0.0
2016-04-07,Faridkot,0.0
2016-04-07,Fatehgarh Sahib,0.0
2016-04-07,Fazilka,0.0
2016-04-07,Firozpur,0.0
2016-04-07,Gurdaspur,0.0
2016-04-07,Hoshiarpur,0.0
2016-04-07,Jalandhar,0.0
2016-04-07,Kapurthala,0.0
2016-04-07,Ludhiana,0.0
2016-04-07,Mansa,0.0
2016-04-07,Moga,0.0
2016-04-07,Muktsar,0.0
2016-04-07,Pathankot,0.0
2016-04-07,Patiala,0.0
2016-04-07,Rupnagar,0.0
2016-04-07,SAS Nagar,0.0
2016-04-07,SBS Nagar,0.0
2016-04-07,Sangrur,0.0
2016-04-07,Tarn Taran,0.0
2016-04-08,Amritsar,0.0
2016-04-08,Barnala,0.0
2016-04-08,Bathinda,0.0
2016-04-08,Faridkot,0.0
2016-04-08,Fatehgarh Sahib,0.0
2016-04-08,Fazilka,0.0
2016-04-08,Firozpur,0.0
2016-04-08,Gurdaspur,0.0
2016-04-08,Hoshiarpur,0.0
2016-04-08,Jalandhar,0.0
2016-04-08,Kapurthala,0.0
2016-04-08,Ludhiana,0.0
2016-04-08,Mansa,0.0
